Long Station Name,Collection Date,EC,Alkalinity,Sacramento X2,WYT,Location,Area
Middle River @ Union Point - P10A,1/5/2015,470,70,71.50190239,C,OMR,Interior
Middle River at Bacon Island Bridge,11/21/1991,547,70,93.42904814,C,OMR,Interior
Clifton Court Intake,2/25/1992,554,70,65.86224313,C,OMR,Interior
Middle River at Bacon Island Bridge,6/25/1992,564,70,90.85817896,C,OMR,Interior
Rock Slough @ Old River,10/20/1994,636,70,92.73586707,AN,OMR,Interior
Middle River @ Union Point - P10A,8/3/2015,648,70,95.38511805,C,OMR,Interior
Contra Costa PP Number 01,1/2/2007,704,70,80.23657174,D,OMR,Interior
Contra Costa PP Number 01,5/4/2004,233,69,76.25300399,BN,OMR,Interior
Contra Costa PP Number 01,3/5/2007,315,69,58.91442023,D,OMR,Interior
Middle River @ Union Point - P10A,10/2/2007,335,69,87.02852586,W,OMR,Interior
Contra Costa PP Number 01,10/5/1993,368,69,83.89162437,C,OMR,Interior
Rock Slough @ Old River,6/26/1990,377,69,87.03302324,C,OMR,Interior
Clifton Court Intake,4/8/1993,400,69,54.30864006,AN,OMR,Interior
Middle River @ Union Point - P10A,9/2/2014,452,69,90.3346038,C,OMR,Interior
Clifton Court Intake,2/21/1990,472,69,80.12996718,C,OMR,Interior
Middle River @ Union Point - P10A,7/7/2014,541,69,90.2187572,C,OMR,Interior
Contra Costa PP Number 01,10/23/1991,585,69,94.27657666,C,OMR,Interior
Old River near Rock Slough,9/2/1959,644,69,91.96611223,BN,OMR,Interior
Old River near Rock Slough,7/21/1959,1320,69,95.92495125,BN,OMR,Interior
Rock Slough @ Old River,9/24/1986,285,68,76.64482557,W,OMR,Interior
Contra Costa PP Number 01,6/4/2007,324,68,80.25338455,D,OMR,Interior
Middle River @ Union Point - P10A,9/10/2018,346,68,84.8982076,BN,OMR,Interior
Contra Costa PP Number 01,2/8/2000,385,68,57.61717763,AN,OMR,Interior
Middle River at Bacon Island Bridge,7/24/1991,404,68,92.78926842,C,OMR,Interior
Contra Costa PP Number 01,9/6/2005,418,68,83.07162013,AN,OMR,Interior
Contra Costa PP Number 01,2/6/2006,491,68,52.81827396,W,OMR,Interior
Contra Costa PP Number 01,11/7/1996,495,68,84.27562766,W,OMR,Interior
Middle River @ Union Point - P10A,12/2/2013,507,68,93.39492499,D,OMR,Interior
Clifton Court Intake,2/14/1990,515,68,84.5852336,C,OMR,Interior
Contra Costa PP Number 01,9/8/2004,540,68,83.45154489,BN,OMR,Interior
Clifton Court Intake,3/27/1991,548,68,71.68911216,C,OMR,Interior
Middle River @ Union Point - P10A,9/9/2015,581,68,94.75346141,C,OMR,Interior
Old River near Rock Slough,9/2/1959,621,68,91.96611223,BN,OMR,Interior
Clifton Court Intake,9/24/1992,717,68,92.85385013,C,OMR,Interior
Contra Costa PP Number 01,9/2/2008,744,68,88.7732302,C,OMR,Interior
Rock Slough @ Old River,1/23/1992,792,68,92.69366513,C,OMR,Interior
Contra Costa PP Number 01,11/19/1991,836,68,93.6335894,C,OMR,Interior
Contra Costa PP Number 01,10/2/2007,928,68,87.02852586,W,OMR,Interior
Contra Costa PP Number 01,7/2/2002,262,67,80.39099747,D,OMR,Interior
Contra Costa PP Number 01,7/1/2008,287,67,84.87243383,C,OMR,Interior
Contra Costa PP Number 01,6/2/1999,288,67,67.44761682,W,OMR,Interior
Contra Costa PP Number 01,12/2/1998,289,67,64.89739823,W,OMR,Interior
Middle River @ Union Point - P10A,6/2/2009,336,67,74.90839371,D,OMR,Interior
Contra Costa PP Number 01,5/13/1997,363,67,71.63203277,W,OMR,Interior
Middle River at Bacon Island Bridge,10/23/1991,365,67,94.27657666,C,OMR,Interior
Contra Costa PP Number 01,9/10/2003,388,67,81.97587927,AN,OMR,Interior
Middle River at Bacon Island Bridge,1/13/1993,423,67,64.09402935,AN,OMR,Interior
Contra Costa PP Number 01,7/7/2004,430,67,83.05294294,BN,OMR,Interior
Middle River at Bacon Island Bridge,3/25/1991,469,67,72.32639176,C,OMR,Interior
Middle River @ Union Point - P10A,2/3/2016,488,67,59.65346245,BN,OMR,Interior
Old River North of Rock Slough (St 4b),7/24/1991,595,67,92.78926842,C,OMR,Interior
Rock Slough @ Old River,7/24/1991,596,67,92.78926842,C,OMR,Interior
Rock Slough @ Old River,2/23/1990,598,67,83.08252588,C,OMR,Interior
Middle River at Bacon Island Bridge,12/11/1991,609,67,94.35994762,C,OMR,Interior
Contra Costa PP Number 01,1/3/2006,703,67,0,W,OMR,Interior
Contra Costa PP Number 01,9/11/1991,782,67,92.53683095,C,OMR,Interior
Contra Costa PP Number 01,9/22/1992,882,67,92.38888101,C,OMR,Interior
Contra Costa PP Number 01,12/9/1991,988,67,94.2937316,C,OMR,Interior
Old River near Rock Slough,8/4/1959,1380,67,91.1135463,BN,OMR,Interior
Old River near Rock Slough,8/4/1959,1580,67,91.1135463,BN,OMR,Interior
Old River near Rock Slough,7/21/1959,1740,67,95.92495125,BN,OMR,Interior
Contra Costa PP Number 01,7/1/1997,249,66,78.99333076,W,OMR,Interior
