Long Station Name,Collection Date,EC,K,Sacramento X2,WYT,Location,Area
Rock Slough @ Old River,2/18/1993,290,2.4,59.5796831,AN,OMR,Interior
Old River South of Rock Slough (St 5A),4/21/1980,304,2.4,62.47778168,AN,OMR,Interior
Middle River @ Union Point - P10A,7/1/2008,318,2.4,84.87243383,C,OMR,Interior
Middle River @ Union Point - P10A,12/6/2010,321,2.4,84.27592276,BN,OMR,Interior
Contra Costa PP Number 01,3/13/1995,322,2.4,37.53111646,W,OMR,Interior
Old River North of Rock Slough (St 4b),4/8/1992,327,2.4,79.86326901,C,OMR,Interior
Rock Slough @ Old River,4/8/1992,334,2.4,79.86326901,C,OMR,Interior
Middle River at Bacon Island Bridge,4/22/1992,335,2.4,77.19407905,C,OMR,Interior
Old River South of Rock Slough (St 5A),2/17/1983,336,2.4,0,W,OMR,Interior
Rock Slough @ Old River,5/5/1992,337,2.4,86.61933596,C,OMR,Interior
Middle River @ Union Point - P10A,12/5/2006,341,2.4,88.65054031,W,OMR,Interior
Middle River at Bacon Island Bridge,4/25/1990,349,2.4,87.22990049,C,OMR,Interior
Old River near Rock Slough,10/1/1959,352,2.4,78.11676896,W,OMR,Interior
Old River South of Rock Slough (St 5A),7/16/1981,366,2.4,87.76825037,D,OMR,Interior
Middle River at Bacon Island Bridge,5/13/1993,411,2.4,61.911538,AN,OMR,Interior
Contra Costa PP Number 01,7/7/2004,430,2.4,83.05294294,BN,OMR,Interior
Contra Costa PP Number 01,4/8/2008,465,2.4,78.37516679,C,OMR,Interior
Clifton Court Intake,6/27/1984,472,2.4,78.52956136,W,OMR,Interior
Middle River @ Union Point - P10A,3/5/2007,485,2.4,58.91442023,D,OMR,Interior
Contra Costa PP Number 01,4/4/2005,499,2.4,55.79737907,AN,OMR,Interior
Old River South of Rock Slough (St 5A),2/16/1981,279,2.5,68.66305851,D,OMR,Interior
Middle River at Bacon Island Bridge,3/26/1992,290,2.5,68.43776556,C,OMR,Interior
Contra Costa PP Number 01,10/3/1996,292,2.5,81.93439648,W,OMR,Interior
Middle River at Bacon Island Bridge,4/7/1992,297,2.5,81.84286737,C,OMR,Interior
Old River South of Rock Slough (St 5A),5/5/1980,318,2.5,64.64696862,AN,OMR,Interior
Middle River @ Union Point - P10A,3/10/2016,321,2.5,62.66343249,BN,OMR,Interior
Old River South of Rock Slough (St 5A),2/3/1981,325,2.5,59.47117587,D,OMR,Interior
Old River near Rock Slough,10/30/1959,345,2.5,83.58656463,W,OMR,Interior
Middle River at Bacon Island Bridge,8/21/1991,347,2.5,88.57096592,C,OMR,Interior
Middle River @ Union Point - P10A,12/4/2007,348,2.5,87.28423839,D,OMR,Interior
Old River South of Rock Slough (St 5A),4/16/1982,348,2.5,0,W,OMR,Interior
Middle River @ Union Point - P10A,11/3/2009,352,2.5,88.3635176,C,OMR,Interior
Middle River at Bacon Island Bridge,7/20/1994,365,2.5,90.6143213,C,OMR,Interior
Rock Slough @ Old River,2/17/1994,370,2.5,75.37363149,C,OMR,Interior
Middle River @ Union Point - P10A,9/2/2008,387,2.5,88.7732302,C,OMR,Interior
Contra Costa PP Number 01,5/6/2008,415,2.5,81.24308533,C,OMR,Interior
Contra Costa PP Number 01,5/26/1994,427,2.5,79.98947042,C,OMR,Interior
