Long Station Name,Collection Date,EC,SO4,Sacramento X2,WYT,Location,Area
Old River North of Rock Slough (St 4b),7/24/1991,595,28,92.78926842,C,OMR,Interior
Contra Costa PP Number 01,10/23/1991,585,28,94.27657666,C,OMR,Interior
Middle River at Bacon Island Bridge,10/7/1992,522,28,92.45317986,C,OMR,Interior
Clifton Court Intake,2/21/1990,472,28,80.12996718,C,OMR,Interior
Middle River @ Union Point - P10A,1/5/2010,466,28,86.26711441,BN,OMR,Interior
Middle River @ Union Point - P10A,11/3/2008,443,28,93.02142734,D,OMR,Interior
Middle River @ Union Point - P10A,6/2/2014,436,28,93.56618111,C,OMR,Interior
Middle River @ Union Point - P10A,5/5/2009,358,28,73.26168644,D,OMR,Interior
Middle River @ Union Point - P10A,6/2/2009,336,28,74.90839371,D,OMR,Interior
Middle River @ Union Point - P10A,4/7/2016,328,28,66.37589317,BN,OMR,Interior
Rock Slough @ Old River,3/24/1994,328,28,72.52425966,C,OMR,Interior
Clifton Court Intake,3/26/1992,321,28,68.43776556,C,OMR,Interior
Middle River at Bacon Island Bridge,1/12/1994,311,28,82.38546939,C,OMR,Interior
Middle River @ Union Point - P10A,7/2/2007,303,28,80.94470218,D,OMR,Interior
Middle River @ Union Point - P10A,6/8/2010,288,28,67.97063022,BN,OMR,Interior
Contra Costa PP Number 01,10/7/2003,604,27,88.64679121,D,OMR,Interior
Clifton Court Intake,8/25/1994,597,27,90.48799198,C,OMR,Interior
Middle River @ Union Point - P10A,12/2/2008,511,27,92.75840841,C,OMR,Interior
Middle River @ Union Point - P10A,1/8/2018,456,27,84.74492337,BN,OMR,Interior
Middle River at Bacon Island Bridge,9/22/1994,407,27,90.04354307,C,OMR,Interior
Contra Costa PP Number 01,2/3/2004,322,27,71.8099759,BN,OMR,Interior
Contra Costa PP Number 01,12/2/1998,289,27,64.89739823,W,OMR,Interior
Middle River @ Union Point - P10A,1/3/2011,274,27,53.33698971,W,OMR,Interior
Contra Costa PP Number 01,4/10/1997,272,27,73.77999403,W,OMR,Interior
Middle River @ Union Point - P10A,2/6/2017,258,27,50.46962633,W,OMR,Interior
Middle River @ Union Point - P10A,6/6/2011,257,27,57.57300551,W,OMR,Interior
Old River near Rock Slough,9/2/1959,621,26,91.96611223,BN,OMR,Interior
Rock Slough @ Old River,7/26/1990,572,26,86.56430395,C,OMR,Interior
Contra Costa PP Number 01,10/13/1994,569,26,90.78710967,AN,OMR,Interior
Middle River @ Union Point - P10A,7/7/2014,541,26,90.2187572,C,OMR,Interior
Contra Costa PP Number 01,9/8/2004,540,26,83.45154489,BN,OMR,Interior
