Long Station Name,Collection Date,EC,Na,Sacramento X2,WYT,Location,Area
Clifton Court Intake,3/15/1988,574,65,91.57829765,C,OMR,Interior
Middle River @ Union Point - P10A,7/7/2014,541,65,90.2187572,C,OMR,Interior
Middle River at Bacon Island Bridge,10/19/1992,534,65,94.57151352,C,OMR,Interior
Old River South of Rock Slough (St 5A),6/28/1988,533,65,88.84197167,C,OMR,Interior
Old River South of Rock Slough (St 5A),1/16/1986,530,65,84.02165809,W,OMR,Interior
Clifton Court Intake,9/25/1985,602,64,87.74760658,D,OMR,Interior
Clifton Court Intake,6/4/1992,569,64,92.61021102,C,OMR,Interior
Middle River at Bacon Island Bridge,6/25/1992,564,64,90.85817896,C,OMR,Interior
Old River North of Rock Slough (St 4b),3/26/1991,549,64,72.01442228,C,OMR,Interior
Middle River @ Union Point - P10A,1/3/2008,544,64,83.34570353,C,OMR,Interior
Middle River @ Union Point - P10A,12/1/2014,542,64,93.6049299,C,OMR,Interior
Rock Slough @ Old River,8/13/1990,508,64,82.37363354,C,OMR,Interior
Contra Costa PP Number 01,4/1/2003,663,63,69.81194277,AN,OMR,Interior
Middle River @ Union Point - P10A,1/9/2019,543,63,#N/A,W,OMR,Interior
Clifton Court Intake,4/24/1990,532,63,86.79032173,C,OMR,Interior
Middle River at Bacon Island Bridge,7/22/1992,527,63,92.3938467,C,OMR,Interior
Rock Slough @ Old River,9/11/1990,510,63,86.1336185,C,OMR,Interior
Old River North of Rock Slough (St 4b),8/13/1990,504,63,82.37363354,C,OMR,Interior
Middle River @ Union Point - P10A,10/6/2014,503,63,94.77701545,D,OMR,Interior
Clifton Court Intake,5/19/1994,599,62,76.51544974,C,OMR,Interior
Contra Costa PP Number 01,3/3/2003,591,62,60.574921,AN,OMR,Interior
Middle River @ Union Point - P10A,5/4/2015,568,62,94.17154572,C,OMR,Interior
Middle River at Bacon Island Bridge,11/21/1991,547,62,93.42904814,C,OMR,Interior
Rock Slough @ Old River,10/2/1989,520,62,81.51083417,C,OMR,Interior
Old River North of Rock Slough (St 4b),6/28/1988,512,62,88.84197167,C,OMR,Interior
Clifton Court Intake,8/14/1986,571,61,79.51248889,W,OMR,Interior
Middle River at Bacon Island Bridge,2/13/1991,557,61,94.27904419,C,OMR,Interior
Contra Costa PP Number 01,4/4/1996,554,61,58.29157662,W,OMR,Interior
Clifton Court Intake,3/27/1991,548,61,71.68911216,C,OMR,Interior
